year,month,day,gender,births
1969,4,15,F,5064
1969,4,15,M,5364
1969,4,16,F,4804
1969,4,16,M,5036
1969,4,17,F,4832
1969,4,17,M,5044
1969,4,18,F,4832
1969,4,18,M,5040
1969,4,19,F,4292
1969,4,19,M,4702
1969,4,20,F,3760
1969,4,20,M,4168
1969,4,21,F,4828
1969,4,21,M,4782
1969,4,22,F,5016
1969,4,22,M,5210
1969,4,23,F,4660
1969,4,23,M,5208
1969,4,24,F,4620
1969,4,24,M,4852
1969,4,25,F,4610
1969,4,25,M,5036
1969,4,26,F,4338
1969,4,26,M,4584
1969,4,27,F,3846
1969,4,27,M,4120
1969,4,28,F,4622
1969,4,28,M,4896
1969,4,29,F,4622
1969,4,29,M,5078
1969,4,30,F,4396
1969,4,30,M,4742
1969,4,31,F,28
1969,4,31,M,24
1969,4,99,F,50
1969,4,99,M,66
1969,5,1,F,4598
1969,5,1,M,4608
1969,5,2,F,4708
1969,5,2,M,5028
1969,5,3,F,4148
1969,5,3,M,4620
1969,5,4,F,3922
1969,5,4,M,4172
1969,5,5,F,4854
1969,5,5,M,5076
1969,5,6,F,4906
1969,5,6,M,5058
1969,5,7,F,4724
1969,5,7,M,4902
1969,5,8,F,4564
1969,5,8,M,4920
1969,5,9,F,4634
1969,5,9,M,4728
1969,5,10,F,4072
1969,5,10,M,4444
1969,5,11,F,3998
1969,5,11,M,4124
1969,5,12,F,4570
1969,5,12,M,4736
1969,5,13,F,4776
1969,5,13,M,5086
1969,5,14,F,4402
1969,5,14,M,4782
1969,5,15,F,4646
1969,5,15,M,4878
1969,5,16,F,4880
1969,5,16,M,4944
1969,5,17,F,4376
1969,5,17,M,4570
1969,5,18,F,3922
1969,5,18,M,4106
1969,5,19,F,4626
1969,5,19,M,4868
1969,5,20,F,5034
1969,5,20,M,5354
1969,5,21,F,4698
1969,5,21,M,5068
1969,5,22,F,4630
1969,5,22,M,4776
1969,5,23,F,4548
1969,5,23,M,5036
1969,5,24,F,4174
1969,5,24,M,4384
1969,5,25,F,4030
1969,5,25,M,4196
1969,5,26,F,4752
1969,5,26,M,5088
1969,5,27,F,5264
1969,5,27,M,5088
1969,5,28,F,4966
1969,5,28,M,4972
1969,5,29,F,4878
1969,5,29,M,5312
1969,5,30,F,4452
1969,5,30,M,4702
1969,5,31,F,4112
1969,5,31,M,4528
1969,5,99,F,54
1969,5,99,M,52
1969,6,1,F,4174
1969,6,1,M,4252
1969,6,2,F,4736
1969,6,2,M,5126
1969,6,3,F,5146
1969,6,3,M,5012
1969,6,4,F,4750
1969,6,4,M,5088
1969,6,5,F,4686
1969,6,5,M,4902
1969,6,6,F,4864
1969,6,6,M,5142
1969,6,7,F,4342
1969,6,7,M,4472
1969,6,8,F,3958
1969,6,8,M,4268
1969,6,9,F,4826
1969,6,9,M,4912
1969,6,10,F,4920
1969,6,10,M,5400
1969,6,11,F,4760
1969,6,11,M,5190
1969,6,12,F,4980
1969,6,12,M,5240
1969,6,13,F,4772
1969,6,13,M,5080
1969,6,14,F,4358
1969,6,14,M,4562
1969,6,15,F,4046
1969,6,15,M,4356
1969,6,16,F,4628
1969,6,16,M,5116
1969,6,17,F,5150
1969,6,17,M,5144
1969,6,18,F,4864
1969,6,18,M,5356
1969,6,19,F,4630
1969,6,19,M,5126
1969,6,20,F,5122
1969,6,20,M,5302
1969,6,21,F,4328
1969,6,21,M,4706
1969,6,22,F,4136
1969,6,22,M,4476
1969,6,23,F,4842
1969,6,23,M,5038
1969,6,24,F,5180
1969,6,24,M,5444
1969,6,25,F,5196
1969,6,25,M,5270
1969,6,26,F,5016
1969,6,26,M,5328
1969,6,27,F,5288
1969,6,27,M,5488
1969,6,28,F,4610
1969,6,28,M,4956
1969,6,29,F,4262
1969,6,29,M,4538
1969,6,30,F,5260
1969,6,30,M,5328
1969,6,31,F,20
1969,6,31,M,40
1969,6,99,F,54
1969,6,99,M,48
1969,7,1,F,5378
1969,7,1,M,5768
1969,7,2,F,5242
1969,7,2,M,5516
1969,7,3,F,5030
1969,7,3,M,5532
1969,7,4,F,4504
1969,7,4,M,4664
1969,7,5,F,4492
1969,7,5,M,4756
1969,7,6,F,4246
1969,7,6,M,4614
1969,7,7,F,5138
1969,7,7,M,5496
1969,7,8,F,5282
1969,7,8,M,5560
1969,7,9,F,5132
1969,7,9,M,5444
1969,7,10,F,5166
1969,7,10,M,5396
1969,7,11,F,5210
1969,7,11,M,5476
1969,7,12,F,4596
1969,7,12,M,4876
1969,7,13,F,4454
1969,7,13,M,4524
1969,7,14,F,4768
1969,7,14,M,5474
1969,7,15,F,5486
1969,7,15,M,5810
1969,7,16,F,5086
1969,7,16,M,5612
1969,7,17,F,5194
1969,7,17,M,5474
1969,7,18,F,5242
1969,7,18,M,5390
1969,7,19,F,4838
1969,7,19,M,4836
1969,7,20,F,4320
1969,7,20,M,4620
1969,7,21,F,4984
1969,7,21,M,5212
1969,7,22,F,5408
1969,7,22,M,5632
1969,7,23,F,5092
1969,7,23,M,5376
1969,7,24,F,5124
1969,7,24,M,5306
1969,7,25,F,5126
1969,7,25,M,5562
1969,7,26,F,4734
1969,7,26,M,5052
1969,7,27,F,4626
1969,7,27,M,4782
1969,7,28,F,4990
1969,7,28,M,5558
1969,7,29,F,5434
1969,7,29,M,5668
1969,7,30,F,5192
1969,7,30,M,5442
1969,7,31,F,5076
1969,7,31,M,5270
1969,7,99,F,24
1969,7,99,M,44
1969,8,1,F,5112
1969,8,1,M,5618
1969,8,2,F,4872
1969,8,2,M,5110
1969,8,3,F,4464
1969,8,3,M,4618
1969,8,4,F,5118
1969,8,4,M,5332
1969,8,5,F,5418
1969,8,5,M,5526
1969,8,6,F,5232
1969,8,6,M,5620
1969,8,7,F,5066
1969,8,7,M,5316
1969,8,8,F,5376
1969,8,8,M,5926
1969,8,9,F,4968
1969,8,9,M,5124
1969,8,10,F,4394
1969,8,10,M,4712
1969,8,11,F,5120
1969,8,11,M,5586
1969,8,12,F,5542
1969,8,12,M,5596
1969,8,13,F,5210
1969,8,13,M,5592
1969,8,14,F,5290
1969,8,14,M,5436
1969,8,15,F,5298
1969,8,15,M,5612
1969,8,16,F,4774
1969,8,16,M,4998
1969,8,17,F,4482
1969,8,17,M,4642
1969,8,18,F,5120
1969,8,18,M,5530
1969,8,19,F,5550
1969,8,19,M,5860
1969,8,20,F,5226
1969,8,20,M,5692
1969,8,21,F,4962
1969,8,21,M,5222
1969,8,22,F,5170
1969,8,22,M,5416
1969,8,23,F,4682
1969,8,23,M,4978
1969,8,24,F,4438
1969,8,24,M,4646
1969,8,25,F,5104
1969,8,25,M,5482
1969,8,26,F,5400
1969,8,26,M,5682
